"vertices","names","CTRL_amore.graphml","CTRL_barbatoa.graphml","CTRL_barbatog.graphml","CTRL_cioffi.graphml","CTRL_denapoli.graphml","CTRL_dimatteo.graphml","CTRL_iadanza.graphml","CTRL_incoronato.graphml","CTRL_lavoro.graphml","CTRL_longo.graphml","CTRL_palma.graphml","CTRL_penta.graphml","CTRL_rubino.graphml","CTRL_salerno.graphml","CTRL_tufano.graphml"
"1","Precentral_L","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","Precentral_R","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"3","Frontal_Sup_L","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3"
"4","Frontal_Sup_R","2","1","1","2","4","3","3","4","2","2","4","2","1","4","4"
"5","Frontal_Sup_Orb_L","4","1","1","4","1","4","4","5","3","4","5","4","4","3","3"
"6","Frontal_Sup_Orb_R","5","4","4","2","5","5","5","6","4","2","6","5","5","5","5"
"7","Frontal_Mid_L","2","1","1","1","6","3","3","7","2","2","4","2","1","4","4"
"8","Frontal_Mid_R","2","1","1","2","4","3","3","4","2","5","4","2","1","4","4"
"9","Frontal_Mid_Orb_L","4","1","1","5","6","6","4","5","2","5","5","6","4","6","3"
"10","Frontal_Mid_Orb_R","5","1","1","2","4","5","5","4","2","2","6","5","5","4","4"
"11","Frontal_Inf_Oper_L","6","5","5","3","3","5","4","8","2","2","6","2","1","3","1"
"12","Frontal_Inf_Oper_R","2","1","1","2","4","3","3","4","2","6","4","2","1","7","4"
"13","Frontal_Inf_Tri_L","4","1","1","6","4","3","4","5","5","7","6","5","5","8","6"
"14","Frontal_Inf_Tri_R","2","1","1","2","4","3","3","4","2","6","4","2","1","4","4"
"15","Frontal_Inf_Orb_L","4","1","1","6","4","7","4","5","5","7","7","5","6","8","3"
"16","Frontal_Inf_Orb_R","5","6","6","7","4","5","5","4","6","6","6","5","5","7","7"
"17","Rolandic_Oper_L","1","5","5","6","7","3","6","1","5","8","1","5","5","8","6"
"18","Rolandic_Oper_R","7","2","2","7","2","2","3","2","6","6","2","5","2","7","7"
"19","Supp_Motor_Area_L","3","3","3","3","3","1","1","3","1","1","3","3","3","3","8"
"20","Supp_Motor_Area_R","5","1","1","3","3","1","1","4","2","1","6","1","7","3","8"
"21","Olfactory_L","8","1","1","4","4","3","3","4","2","2","6","7","8","4","3"
"22","Olfactory_R","8","6","6","8","5","8","3","6","6","6","8","7","8","7","7"
"23","Frontal_Sup_Medial_L","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3"
"24","Frontal_Sup_Medial_R","3","3","3","8","4","8","7","3","4","3","3","3","3","5","5"
"25","Frontal_Med_Orb_L","2","4","4","4","6","4","2","7","4","4","9","6","4","5","5"
"26","Frontal_Med_Orb_R","5","4","4","8","5","8","7","6","4","2","6","5","5","5","5"
"27","Rectus_L","8","7","7","4","5","4","8","6","3","5","5","6","9","6","3"
"28","Rectus_R","5","4","4","4","5","4","8","6","3","4","6","5","5","5","5"
"29","Insula_L","4","5","5","6","7","7","6","5","5","7","7","4","6","8","6"
"30","Insula_R","5","6","6","7","2","5","5","2","6","6","8","7","2","7","7"
"31","Cingulum_Ant_L","8","3","3","8","4","8","7","3","2","3","3","3","3","4","3"
"32","Cingulum_Ant_R","5","4","4","8","4","8","7","4","4","2","6","5","5","5","5"
"33","Cingulum_Mid_L","5","8","8","3","3","1","9","4","7","1","6","5","7","3","3"
"34","Cingulum_Mid_R","5","1","1","9","4","8","7","4","2","9","6","5","5","4","3"
"35","Cingulum_Post_L","5","8","8","2","4","3","9","4","7","2","6","5","5","4","3"
"36","Cingulum_Post_R","5","1","1","9","4","3","3","4","7","9","6","8","5","9","3"
"37","Hippocampus_L","9","9","9","5","1","6","8","9","3","4","7","6","9","6","9"
"38","Hippocampus_R","9","6","6","5","1","5","8","9","3","4","8","6","9","6","9"
"39","ParaHippocampal_L","9","9","9","5","6","6","8","9","3","4","9","6","9","6","9"
"40","ParaHippocampal_R","9","9","9","5","1","6","8","9","3","4","5","6","9","2","9"
"41","Amygdala_L","9","9","9","5","1","6","2","9","3","4","7","6","9","6","9"
"42","Amygdala_R","9","6","6","5","1","6","2","7","3","4","5","7","9","2","9"
"43","Calcarine_L","6","7","7","5","8","4","2","9","7","5","9","4","4","2","1"
"44","Calcarine_R","9","7","7","9","8","4","2","9","2","5","9","5","4","2","3"
"45","Cuneus_L","6","8","8","1","1","9","2","8","3","5","6","8","4","1","1"
"46","Cuneus_R","6","7","7","1","8","4","2","8","8","5","4","8","4","1","1"
"47","Lingual_L","9","7","7","5","8","4","2","9","3","5","9","6","4","2","9"
"48","Lingual_R","9","7","7","5","8","4","2","9","3","5","9","6","4","2","9"
"49","Occipital_Sup_L","6","7","7","1","1","9","2","8","8","5","5","8","4","1","1"
"50","Occipital_Sup_R","6","7","7","1","8","9","2","8","8","5","4","8","4","1","1"
"51","Occipital_Mid_L","6","7","7","1","1","9","2","8","3","5","9","8","4","1","1"
"52","Occipital_Mid_R","5","1","1","2","4","3","3","4","8","2","6","5","5","4","3"
"53","Occipital_Inf_L","9","7","7","5","8","9","8","8","9","5","9","6","4","2","4"
"54","Occipital_Inf_R","6","7","7","1","8","4","2","9","9","5","9","8","4","2","9"
"55","Fusiform_L","5","9","9","2","6","6","3","4","9","2","6","6","5","6","3"
"56","Fusiform_R","9","7","7","5","8","4","8","9","3","5","9","5","9","2","9"
"57","Postcentral_L","1","5","5","6","9","1","1","1","5","1","1","1","7","8","8"
"58","Postcentral_R","5","2","2","7","2","2","3","2","6","2","2","9","2","7","2"
"59","Parietal_Sup_L","6","8","8","1","9","9","9","8","1","2","6","8","5","1","1"
"60","Parietal_Sup_R","5","2","2","9","2","2","3","2","8","9","2","9","2","9","2"
"61","Parietal_Inf_L","1","1","1","2","9","3","3","1","2","2","1","5","5","4","3"
"62","Parietal_Inf_R","2","1","1","2","4","3","3","4","2","4","4","9","1","1","4"
"63","SupraMarginal_L","1","1","1","2","9","3","3","1","9","8","1","8","1","6","1"
"64","SupraMarginal_R","7","2","2","2","2","2","3","2","2","2","2","5","2","4","2"
"65","Angular_L","6","1","1","1","6","9","3","7","9","4","4","8","1","4","1"
"66","Angular_R","6","1","1","1","4","3","3","4","2","4","4","8","1","4","4"
"67","Precuneus_L","5","8","8","9","4","1","9","4","7","9","6","1","7","9","8"
"68","Precuneus_R","5","8","8","9","4","3","9","4","2","9","6","9","5","9","3"
"69","Paracentral_Lobule_L","1","8","8","3","3","1","1","1","1","1","1","1","7","3","8"
"70","Paracentral_Lobule_R","5","2","2","2","2","1","1","2","2","1","2","1","7","9","8"
"71","Caudate_L","8","3","3","2","4","3","3","3","1","2","5","4","3","4","3"
"72","Caudate_R","5","4","4","2","4","3","5","7","4","3","6","7","8","5","5"
"73","Putamen_L","4","1","1","6","3","7","4","5","1","7","5","4","7","8","6"
"74","Putamen_R","5","2","2","7","2","5","5","7","6","6","6","5","2","7","7"
"75","Pallidum_L","9","9","9","5","1","7","2","7","3","7","5","4","9","8","6"
"76","Pallidum_R","9","9","9","5","1","6","5","7","3","4","5","4","9","6","9"
"77","Thalamus_L","1","8","8","3","3","7","9","7","1","1","6","1","7","3","8"
"78","Thalamus_R","9","7","7","9","2","4","5","9","1","9","9","5","2","9","3"
"79","Heschl_L","6","5","5","6","7","4","6","8","5","8","6","8","9","8","6"
"80","Heschl_R","7","9","9","7","7","4","6","7","6","6","6","4","9","7","7"
"81","Temporal_Sup_L","5","5","5","2","7","3","6","4","2","8","7","5","6","4","3"
"82","Temporal_Sup_R","7","6","6","2","4","3","3","4","2","2","8","5","5","4","3"
"83","Temporal_Pole_Sup_L","4","1","1","6","4","6","4","5","5","7","7","5","6","8","6"
